DB_SERVER        CUSTOMERID           INSTITUTIONID ORG_TIMEZONE                                                                                                                                                                                                                                              ORG_CODE                                       ORG_NAME
DWH_NA01_A_RO       8080          8082 Asia/Singapore                                                                                                                                                                                                                                                  65SPO_NP                                           Ngee Ann Polytechnic
DWH_NA01_A_RO       8600          8601 Asia/Taipei                                                                                                                                                                                                                                                     886NKUHT_INST                                      National Kaohsiung University of Hospitality and Tourism
DWH_NA01_A_RO       8715          8716 Asia/Phnom_Penh                                                                                                                                                                                                                                                 855UPP_INST                                        Royal University of Phnom Penh
DWH_NA01_A_RO       8815          8816 Asia/Seoul                                                                                                                                                                                                                                                      82HUN_INST                                         Hongik University
DWH_NA01_A_RO       8820          8821 Asia/Macau                                                                                                                                                                                                                                                      853IFT_INST                                        Macao University of Tourism
DWH_NA01_A_RO       8905          8906 Asia/Bangkok                                                                                                                                                                                                                                                    66CMU_INST                                         Chiang Mai Univ
DWH_NA01_A_RO       9020          9021 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKPU_PCOPACE                                    College of Professional and Continuing and Education
DWH_NA01_A_RO       9025          9026 Asia/Hong_Kong                                                                                                                                                                                                                                                  852YFBI_INST                                       Yan Fook Theological Seminary
DWH_NA01_A_RO       9065          9066 Asia/Tokyo                                                                                                                                                                                                                                                      81TORAY_INST                                       Toray Industries Inc.
DWH_NA01_A_RO       9075          9076 Asia/Kuala_Lumpur                                                                                                                                                                                                                                               60NUMM_INST                                        Newcastle University Medicine Malaysia
DWH_NA01_A_RO       9110          9111 Asia/Manila                                                                                                                                                                                                                                                     63UOSTP_INST                                       University of Santo Tomas
DWH_NA01_A_RO       9125          9126 Asia/Taipei                                                                                                                                                                                                                                                     886NHRI_INST                                       National Health Research Institutes
DWH_NA01_A_RO       9170          9171 Asia/Bangkok                                                                                                                                                                                                                                                    66NIDA_INST                                        National Institute of Development Administration
DWH_NA01_A_RO       9175          9176 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKIC_INST                                       Hong Kong Institute of Construction
DWH_NA01_A_RO       9195          9196 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKDC_INST                                       Hong Kong Design Centre
DWH_NA01_A_RO       9220          9221 Asia/Seoul                                                                                                                                                                                                                                                      82KUN_INST                                         Konkuk University
