State/Province,Country,Country Lookup: Time Zone,Exlibris Customer Care Region,Account Name,Account Name Internal,Account Currency
ZUERICH,Switzerland,Europe/Brussels,EMEA ANZ,University of Zurich,Universitat Zurich Irchel,USD
KOWLOON,Hong Kong,Asia/Hong_Kong,APAC,iGroup Asia Pacific Ltd,iGroup Asia Pacific Ltd,USD
,Hungary,Europe/Brussels,EMEA ANZ,Eotvos Lorand Tudomanyegyetem,Eotvos Lorand University ELTE,USD
Nordrhein-Westfalen,Germany,Europe/Berlin,EMEA ANZ,Universitats- und Stadtbibliothek Koln,University and City Library of Cologne,USD
TX,United States,,NA,SUNY at Buffalo,SUNY College at Buff,USD
NY,United States,,NA,Sage College at Troy,Sage Colleges,USD
NY,United States,,NA,St John Fisher College,,USD
DL,India,Asia/Kolkata,APAC,British Council India,British Council India,GBP
,Israel,Asia/Jerusalem,EMEA ANZ,Life Science Research Israel Limited LSRI,Life Science Research Israel Limited LSRI,USD
New South Wales,Australia,,EMEA ANZ,South Western Sydney Local Health District,South Western Sydney Local Health District,USD
Central,Israel,Asia/Jerusalem,EMEA ANZ,Knesset,Knesset,USD
CT,United States,,NA,Central Connecticut State University,Diss - Central Connecticut State University - Dissertation ILL,USD
VT,United States,,NA,Middlebury College,Middlebury College Davis Family Library,USD
FIRENZE,Italy,Europe/Rome,EMEA ANZ,Kunsthistorisches Institut In Florenz,Kunsthistorisches Institut In Florenz,EUR
NH,United States,,NA,New England College,,USD
Tokyo,Japan,Asia/Tokyo,APAC,My Book Service Inc.,My Book Service Inc,USD
Tokyo,Japan,Asia/Tokyo,APAC,National Center for Global Health and Medicine,JIHS Kokuritsu Kokusai Iryo Kenkyu Center,USD
Midtjylland,Denmark,Europe/Brussels,EMEA ANZ,Aarhus University,Aarhus University IT,USD
Osaka,Japan,Asia/Tokyo,APAC,Takeda Pharmaceutical Co Ltd,Takeda Yakuhin Kogyo Kabushiki Kaisha,USD
Saarland,Germany,Europe/Berlin,EMEA ANZ,"Universität des Saarlandes, Musikwissenschaft",Universitat des Saarlandes Institut fur Musikwissenschaft,USD
CT,United States,,NA,Wesleyan University,Wesleyan University,USD
Schleswig-Holstein,Germany,Europe/Berlin,EMEA ANZ,Max Planck Institute for Evolutionary Biology,Max-Planck-Institut fur Evolutionsbiologie,USD
IL,United States,,NA,Aurora University,Aurora University Charles B Phillips Library,USD
Tokyo,Japan,Asia/Tokyo,APAC,National Hospital Organization,Kokuritsu Byoin Kiko,USD
Jaemtland,Sweden,Europe/Brussels,EMEA ANZ,Karlstads Universitet,Karlstads Universitet,USD
IL,United States,,NA,Bradley University,,USD
Okayama,Japan,Asia/Tokyo,APAC,Kurashiki Chuo Byoin,Kurashiki Central Hospital,USD
IL,United States,,NA,Chicago Pub Library Woodson Reg Library,Chicago Pub Library Woodson Reg Library,USD
Luxembourg,Luxembourg,Europe/Brussels,EMEA ANZ,Cour De Justices Des Communautes Europennes,Court of Justice of the European Communities CURIA,USD
Tokyo,Japan,Asia/Tokyo,APAC,Tokyo University of Science Katsushika Campus,Tokyo University of Science Katsushika Campus,USD
